player_id,name,height_clean,height_ft,height_in,total_inches
8318,Kelsey Sorenson,"6'0""",6,0,72
8317,Tayla Nez,"5'4""",5,4,64
8324,Ruby Sweeney-Spitzeck,"5'8""",5,8,68
8325,Kate Gallery,"6'1""",6,1,73
8319,Ava Strange,"5'10""",5,10,70
8326,Graci Kolka,"5'10""",5,10,70
8321,Samantha Wattawa,"5'10""",5,10,70
8316,Brooke McGee,"6'0""",6,0,72
8327,Lanae Billy,"5'7""",5,7,67
8328,Sadie Misner,"5'7""",5,7,67
8329,Kaitlyn Bell,"6'3""",6,3,75
6067,Trinity Adams,"5'8""",5,8,68
6066,Alexis Sexton,"5'9""",5,9,69
6068,Scarlett Gilmore,"5'7""",5,7,67
6069,MiLeia Owens,"5'4""",5,4,64
6070,Aniyah Oliver,"5'5""",5,5,65
6071,Jada Richards,"5'9""",5,9,69
6072,Janiyah Hagood,"5'8""",5,8,68
6073,Jasmine Stanley,"6'1""",6,1,73
6074,Kiana Lee,"5'7""",5,7,67
6222,Myesha Huggins,"5'6""",5,6,66
6075,Lauryn Taylor,"5'11""",5,11,71
3943,Kendal Haggerty,"5'9""",5,9,69
4044,Peyton Grant,"5'6""",5,6,66
3942,Alissa Turner,"5'10""",5,10,70
4045,Ryley Bolyard,"5'9""",5,9,69
3938,Jordan Carr,"5'6""",5,6,66
3941,Meghan Shipley,"5'8""",5,8,68
4168,Deaira Hairston,"5'3""",5,3,63
3940,Cara Minor,"5'11""",5,11,71
4046,Neresha Miller,"6'2""",6,2,74
4047,Theresha Miller,"6'2""",6,2,74
3937,Sydney Bolles,"5'9""",5,9,69
3308,Mickayla Perdue,"5'6""",5,6,66
3304,Cabria Lewis,"5'8""",5,8,68
3317,Breanna Campbell,"5'5""",5,5,65
3302,Skylar Davidson,"5'4""",5,4,64
3306,Khadija Chambless,"5'6""",5,6,66
3307,Aline Fevrier,"6'2""",6,2,74
3316,Dream Cherry,"5'5""",5,5,65
3305,Hya Haywood,"5'6""",5,6,66
3301,Skye Dugan,"5'6""",5,6,66
3313,Daisha Summers,"5'10""",5,10,70
3314,Lauren Hawthorne,"6'0""",6,0,72
3310,Deja Atkinson,"5'10""",5,10,70
3300,Alexis Maynard,"5'6""",5,6,66
3312,Tor'e Alford,"5'8""",5,8,68
3311,Kamiyah Lyons,"5'7""",5,7,67
3315,Chalon Miles,"5'5""",5,5,65
3303,Jezreel Reynolds,"5'11""",5,11,71
3318,Mo Pruitt,"5'9""",5,9,69
6427,Tubby Tovia,"5'8""",5,8,68
6426,Nicole Pinckney,"5'5""",5,5,65
6429,Hayley Berfield,"5'7""",5,7,67
6457,Anaiah Moore,"5'5""",5,5,65
6420,Jazzpher Evans,"5'6""",5,6,66
6428,Natalia Beaumont,"6'3""",6,3,75
6419,Ra'Anaa Bey,"5'6""",5,6,66
6430,Vishe' Rabb,"5'9""",5,9,69
6422,Jahnna Hajdukovich,"5'8""",5,8,68
6431,Kate Robertson,"6'2""",6,2,74
6425,Malie Marfil,"5'9""",5,9,69
6424,Elaina Mack,"5'8""",5,8,68
6421,Kimani Fernandez,"5'10""",5,10,70
6423,Rachel Ingram,"5'7""",5,7,67
